"__typename","action","amount","assetPriceUSD","id","reserve","timestamp","txHash","user"
"Repay","Repay","10000000","1.00000849","8083399:0:0xbb9e642f56737ed8cb06c6756b9d24298512d7af7df86b8a56f210b219e89ae0:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647568694,"0xbb9e642f56737ed8cb06c6756b9d24298512d7af7df86b8a56f210b219e89ae0","{""__typename"":""User"",""id"":""0x95b9f2f528338b0cdb3f14442837b0e7f05dceec""}"
"Repay","Repay","19994425200","1.00000849","8086115:0:0x807062ab31f49e74014c3d5ffe4e8b459c4190b9b904d21461c67f99b7de41b2:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647573207,"0x807062ab31f49e74014c3d5ffe4e8b459c4190b9b904d21461c67f99b7de41b2","{""__typename"":""User"",""id"":""0x2f45724d7e384b38d5c97206e78470544304887f""}"
"Repay","Repay","7236666","1.00000849","8087168:0:0xc2c4f9ae76a542aa63028849494d9e75b616e39487de76bdd7339a596c397d9a:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647575060,"0xc2c4f9ae76a542aa63028849494d9e75b616e39487de76bdd7339a596c397d9a","{""__typename"":""User"",""id"":""0x2f45724d7e384b38d5c97206e78470544304887f""}"
"Repay","Repay","150000000000000000000","0.99999136","8089477:0:0xaf845dd7b5de8b363aa45bd200b0ba16441e0ed734f49ba81183334e2fa3bab5:4:4","{""__typename"":""Reserve"",""decimals"":18,""symbol"":""DAI""}",1647579129,"0xaf845dd7b5de8b363aa45bd200b0ba16441e0ed734f49ba81183334e2fa3bab5","{""__typename"":""User"",""id"":""0xe8fef7bf385e911bcd537992c35f895b4304d49b""}"
"Repay","Repay","90001912277","1.00000849","8089684:0:0x97e1228832fc5d6cf113fb60867b19888f1e30c6466ccaca4f66bffd8131dc37:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647579515,"0x97e1228832fc5d6cf113fb60867b19888f1e30c6466ccaca4f66bffd8131dc37","{""__typename"":""User"",""id"":""0x1be2655c587c39610751176ce3c6f3c7018d61c1""}"
"Repay","Repay","130000000000","1.00000849","8089845:0:0x3267c452618f9fee46c472e46e9249e647889e4746d74c4f80cbc75c58301f4f:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647579715,"0x3267c452618f9fee46c472e46e9249e647889e4746d74c4f80cbc75c58301f4f","{""__typename"":""User"",""id"":""0x1be2655c587c39610751176ce3c6f3c7018d61c1""}"
"Repay","Repay","400086706","1.00000849","8097777:0:0x9f03327c0e07c8b3eec19329b795e2edf29d84f269956c352e2d089d2b084bd9:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647594377,"0x9f03327c0e07c8b3eec19329b795e2edf29d84f269956c352e2d089d2b084bd9","{""__typename"":""User"",""id"":""0x35119741d2d3c40fcd456a93860f68c1754a4f56""}"
"Repay","Repay","525109390","1.00000849","8099057:0:0x3ce1262247e4def1a7b5a523cab54d308aafb5ddaf35b126a5ef8e752d2ff1ff:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647597079,"0x3ce1262247e4def1a7b5a523cab54d308aafb5ddaf35b126a5ef8e752d2ff1ff","{""__typename"":""User"",""id"":""0xa511d13eda17ce7e1f1b8aaea9d1bbc1c21d5217""}"
"Repay","Repay","100010845","1.001","8099540:0:0x33cdcf6d169063a8e5405e4ed153c7547ade5f6da6c89e1063a39364c1cfcc9a:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDT""}",1647598033,"0x33cdcf6d169063a8e5405e4ed153c7547ade5f6da6c89e1063a39364c1cfcc9a","{""__typename"":""User"",""id"":""0xa511d13eda17ce7e1f1b8aaea9d1bbc1c21d5217""}"
"Repay","Repay","4500353619905515468780","0.99991909","8103636:0:0x7c8c4ca6a6b4734e37918347221d37877581c96c761fc9c0bdabaf4a28232a9b:5:5","{""__typename"":""Reserve"",""decimals"":18,""symbol"":""DAI""}",1647606799,"0x7c8c4ca6a6b4734e37918347221d37877581c96c761fc9c0bdabaf4a28232a9b","{""__typename"":""User"",""id"":""0x8185042335aaccefb73db5ee38433010993b9260""}"
