"__typename","action","amount","assetPriceUSD","borrowRate","borrowRateMode","id","reserve","stableTokenDebt","timestamp","txHash","user","variableTokenDebt"
"Borrow","Borrow","500000000","1.0002021","127685470832040618619371",2,"8013869:0:0x651e66178bb5dd8f828e5828cc51598c50e3d24cd0fc71100c6cd836d05f6c23:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647463841,"0x651e66178bb5dd8f828e5828cc51598c50e3d24cd0fc71100c6cd836d05f6c23","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","1399999476"
"Borrow","Borrow","30000000000","1.0002021","439597199198996466377182",2,"8014087:0:0xbe40ed9694d7d1017f94ce7dad9d1eacc1749c1a6f1fe50f950f6cdf93fdecb0:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647464102,"0xbe40ed9694d7d1017f94ce7dad9d1eacc1749c1a6f1fe50f950f6cdf93fdecb0","{""__typename"":""User"",""id"":""0x9ee6f42531adac0bd443756f0120c6aeed354115""}","39000908732"
"Borrow","Borrow","300000000000000000000","0.99981495","15008170454622579968583770",2,"8014439:0:0xb807027eaf4f9b96adacc728ee121f4697925c3c8d0dd7496c3ccbdd9089f42e:4:4","{""__typename"":""Reserve"",""decimals"":18,""symbol"":""DAI""}","0",1647464640,"0xb807027eaf4f9b96adacc728ee121f4697925c3c8d0dd7496c3ccbdd9089f42e","{""__typename"":""User"",""id"":""0xdf0c1a2411056f7130b074606e7c330879528001""}","299999740726420914904"
"Borrow","Borrow","500000000","1.0002021","444743713083257985156963",2,"8014737:0:0xdcaa11b23d4e2e5999a2d6ef2959ec96927d9b4aece9212f75c5b7b6dc7d3fee:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647464987,"0xdcaa11b23d4e2e5999a2d6ef2959ec96927d9b4aece9212f75c5b7b6dc7d3fee","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","1899999282"
"Borrow","Borrow","80000000000","1.0002021","1276411047698027838742406",2,"8015215:0:0x6d35399c55947af5283d9d94e59b1964c7b0ff3884ad836ca9acf6a56d8c72d0:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647465585,"0x6d35399c55947af5283d9d94e59b1964c7b0ff3884ad836ca9acf6a56d8c72d0","{""__typename"":""User"",""id"":""0x7cf67a1a486d5716517a989f180112ba26d1afcf""}","79999968232"
"Borrow","Borrow","70000000000000000000","2769.67807438","52035154855220193429217547",2,"8015649:0:0x3d9cff34d4f0994658e10a189c6d1a2fb4fd81a9c7cf7905f46249a55a476517:5:5","{""__typename"":""Reserve"",""decimals"":18,""symbol"":""WETH""}","0",1647466116,"0x3d9cff34d4f0994658e10a189c6d1a2fb4fd81a9c7cf7905f46249a55a476517","{""__typename"":""User"",""id"":""0x67eb0b7bbe5eec90b5c3d230954866b529116f68""}","69999887643729469358"
"Borrow","Borrow","475000000","1.0002021","1188646293052960179983561",2,"8015723:0:0xca13100b1e98eda003a4f1ae0812349f1f33ac3fedb3166fee8101d3bf8ad2b4:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647466116,"0xca13100b1e98eda003a4f1ae0812349f1f33ac3fedb3166fee8101d3bf8ad2b4","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","2374999084"
"Borrow","Borrow","43294000000","1.0002021","1606161733129947834059989",2,"8015727:0:0xb15fdced62fbf289feb2d2631cc48e019fe7abfd4b7d523e2bb2cdc3700f4b3c:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647466116,"0xb15fdced62fbf289feb2d2631cc48e019fe7abfd4b7d523e2bb2cdc3700f4b3c","{""__typename"":""User"",""id"":""0x9e5a57470a2a136a3d4de39e1996e05944c4b1fb""}","43293981941"
"Borrow","Borrow","450000000","1.0002021","1736104012590849929499539",2,"8015962:0:0x8ca08b5007129f09635f547f3b0176eea9b015624a298c68cfbb993f93f0b876:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647466469,"0x8ca08b5007129f09635f547f3b0176eea9b015624a298c68cfbb993f93f0b876","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","2824998888"
"Borrow","Borrow","20000000000","1.0002021","1944020768805987378735114",2,"8016112:0:0x32245f1a08f23afb61807f6c41895a3c1b517f554cb15d7758777515032af71b:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647466699,"0x32245f1a08f23afb61807f6c41895a3c1b517f554cb15d7758777515032af71b","{""__typename"":""User"",""id"":""0x2f45724d7e384b38d5c97206e78470544304887f""}","19999991030"
"Borrow","Borrow","400000000","1.0002021","1948179112106149167938243",2,"8016208:0:0xfb8c0352b9a164c443c1d66201c83eb58f4bcf28144cb3c4a7e082eb01863e0b:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647466774,"0xfb8c0352b9a164c443c1d66201c83eb58f4bcf28144cb3c4a7e082eb01863e0b","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","3224998707"
"Borrow","Borrow","600000000","1.0002021","1954416641658136341293002",2,"8016455:0:0x9ed74ca41abfac32a72d2929cad36b909d00a9dba2ffa600bc8a31f5d700c01b:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647467013,"0x9ed74ca41abfac32a72d2929cad36b909d00a9dba2ffa600bc8a31f5d700c01b","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","3824998426"
"Borrow","Borrow","600000000","1.0002021","1960654175196814805783191",2,"8016629:0:0xa347df557a141c9441fa245a73684ae4fa6464a8e214a69c9a3b644fe54a0b25:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647467285,"0xa347df557a141c9441fa245a73684ae4fa6464a8e214a69c9a3b644fe54a0b25","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","4424998135"
"Borrow","Borrow","3300000000","1.0002021","1994960450284451129259793",2,"8016710:0:0xc8c4358e431a5232c775026131567f0d90fe04f6e265889f7795e0d0a9f77069:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647467404,"0xc8c4358e431a5232c775026131567f0d90fe04f6e265889f7795e0d0a9f77069","{""__typename"":""User"",""id"":""0x30ae936e9337bfbdb5f6183178c3106c79e9add0""}","3299998376"
"Borrow","Borrow","575000000","1.0002021","2000938056407024590653394",2,"8016755:0:0x1c2197fc470bb4b56be6818924152977f42a3513030f09721b995eb4bb6fd353:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647467404,"0x1c2197fc470bb4b56be6818924152977f42a3513030f09721b995eb4bb6fd353","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","4999997852"
"Borrow","Borrow","550000000","1.0002021","2006655782126293608188396",2,"8016832:0:0xa54784322a3d563b398d27b4c50b09b585ea0fdd8ead1c05877425a03b79f105:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647467532,"0xa54784322a3d563b398d27b4c50b09b585ea0fdd8ead1c05877425a03b79f105","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","5549997577"
